"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"A",0.0785279629093017,0.0239757207890744,0.0618008037362876,0.00079699419332802,0.0418054438957161,0.0979381443298969,0.106056377337427,0.00145201103528387,0.0836301688090444,0.131570762052877,0.000311623558741041,0.082150293393905,0.0636711281070746,0.139291285937152,0.0732716650438169,0.0326328800988875,0.0329698199340604,0.0756013745704467,0.00167597765363128,0.0661577608142494,0.00785024154589372,0.0351149782473586,0.00878018187519599,0.261038961038961,0.00101798439090601,0.0343725019984013,0.151563753007217,0.0813953488372093,0.0667966845441248,0.0177993527508091,0.220403709765412,0.191698525395958,0.0116696588868941,0.015748031496063
"B",0.0657780353520719,0.0736469398077896,0.0660367111980015,0.000341568939997723,0.0383599402779373,0.076159793814433,0.0817750488417527,0.00130680993175548,0.0806876258324299,0.157853810264386,0.000934870676223122,0.182093507476812,0.0682600382409178,0.0599509694673501,0.071080817916261,0.00469715698393078,0.0294192239411616,0.0647634152788792,0.000279329608938547,0.0766186033361606,0.00211352657004831,0.074580484773151,0.00909375979931013,0.0938311688311688,0,0.0303756994404476,0.147955092221331,0.126118067978533,0.0721599219892735,0.0253505933117584,0.0698308783415166,0.198252321135991,0.00448833034111311,0.0015748031496063
"C",0.125181106925529,0.0381385938290339,0.0300858042793527,0.00375725833997495,0.0385896405191225,0.117010309278351,0.172899804632989,0.00174241324234064,0.0837850394920242,0.212908242612753,0.000623247117482082,0.0906681809577891,0.129827915869981,0.181412970804546,0.0781402142161636,0.0452410383189122,0.034491503931017,0.0861749933914882,0.000558659217877095,0.0817076618603336,0.00271739130434783,0.280919825978869,0.010975227343995,0.278896103896104,0.000678656260604004,0.0435651478816946,0.147955092221331,0.130590339892665,0.10336421257923,0.0285868392664509,0.563557010365521,0.151829601310759,0.00897666068222621,0.0047244094488189
"D",0.295663092823336,0.132220536165908,0.0975344846312588,0.00364340202664238,0.046743999081199,0.184664948453608,0.0189785096288027,0.00813126179758966,0.112590986526251,0.231415241057543,0.00405110626363353,0.355669127389741,0.00783938814531549,0.0525963895698685,0.0971275559883155,0.00321384425216316,0.0324625919350748,0.108908273856727,0.00391061452513967,0.0107435679954764,0.0253623188405797,0.0251709136109385,0.015365318281593,0.0012987012987013,0,0.234612310151879,0.16439454691259,0.258050089445438,0.114090687469527,0.0285868392664509,0.0147299509001637,0.132714363735664,0.0215439856373429,0.0582677165354331
"E",0.0333236742973051,0.0714213454729388,0.142826110568046,0.00603438460662644,0.0504192029401631,0.0478092783505155,0.159363661735975,0.00304922317409612,0.103608486913427,0.110886469673406,0.00140230601433468,0.0681431005110733,0.137476099426386,0.155337642077112,0.0973709834469328,0.688504326328801,0.0380420999239158,0.0978059740946339,0.00139664804469274,0.123551031947979,0.00422705314009662,0.350217526413922,0.0134838507369081,0.344805194805195,0.00101798439090601,0.150279776179057,0.168404170008019,0.063953488372093,0.116528522671867,0.0323624595469256,0.112929623567921,0.151283451665756,0.00807899461400359,0.236220472440945
"F",0.137254901960784,0.323823975720789,0.468339307048984,0.00432653990663782,0.046743999081199,0.045360824742268,0.005442366731789,0.0117612893857993,0.157968096639306,0.0283048211508554,0.00623247117482082,0.0467537384062086,0.00152963671128107,0.060396701582349,0.125365141187926,0.117181705809642,0.0438752219122496,0.121067935500925,0.00363128491620112,0.0118744698897371,0,0.0870105655686762,0.0172467858262778,0.00487012987012987,0.00237529691211401,0.367705835331735,0.167201283079391,0.0232558139534884,0.203315455875183,0.0258899676375405,0.0125477359519913,0.149645002730748,0.0161579892280072,0.181102362204724
"G_1",0,0,0,0.371854719344188,0,0,0,0.00145201103528387,0,0,0.00015581177937052,0,0,0.00378872297749053,0,0,0,0,0.443854748603352,0.000282725473565168,0,0,0,0,0.432982694265355,0,0,0,0,0.00161812297734628,0,0,0,0
"G_2",0,0,0,0.461118068996926,0,0,0,0.000145201103528387,0,0,0,0,0,0.00245152663249387,0,0,0,0,0.50586592178771,0,0,0,0,0,0.544621649134713,0,0,0,0,0,0,0,0,0
"H",0,0,0,0.118182853239212,0.000459400482370506,0,0,0.946565993901554,0,0,0.919912745403553,0,0,0.0100289725874749,0.000486854917234664,0,0.00380420999239158,0.439333862014274,0.0181564245810056,0.000565450947130336,0,0,0,0,0.0128944689514761,0,0.0216519647153168,0,0.000487567040468064,0.762135922330097,0,0.0245767340251229,0,0.0062992125984252
"I",0,0,0,0.0200387111465331,0.655679338463305,0,0.000837287189506001,0.0214897633222013,0.000309741365959424,0,0.053599252103459,0,0.00592734225621415,0.00757744595498106,0.00194741966893866,0,0.659396398681207,0.00158604282315623,0.0134078212290503,0.0367543115634719,0.343297101449275,0,0.848541862652869,0,0.00271462504241602,0.00559552358113509,0.00962309542902967,0,0,0.0533980582524272,0,0,0.702872531418312,0.188976377952756
"J",0,0,0.000760291082871728,0.00705909142661961,0.073504077179281,0.00644329896907216,0.00837287189506001,0.00101640772469871,0.33885705435961,0.0329704510108865,0.0068557182923029,0,0.0273422562141491,0.325607310006686,0.434518013631938,0.00197775030902349,0.1052498097895,0.00475812846946868,0.0058659217877095,0.0197907831495618,0.255736714975845,0.000621504039776259,0.0649106302916275,0.0012987012987013,0.00169664065151001,0.00959232613908873,0.0212510024057739,0.0317531305903399,0.296440760604583,0.0129449838187702,0,0,0.226211849192101,0.176377952755906
"L_1",0.127402685212016,0.171775417298938,0.0650591940914522,0.00136627575999089,0.00379005397955668,0.214819587628866,0.219648339380407,0.000871206621170321,0.018274740591606,0.0502332814930016,0.00389529448426301,0.0848003028582245,0.267112810707457,0.000891464229997771,0.0104673807205453,0.0526576019777503,0.00862287598275425,0,0.000837988826815642,0.279332767882386,0.171195652173913,0.0727159726538223,0.00658513640639699,0.00584415584415584,0,0.0663469224620304,0,0.130590339892665,0.0131643100926377,0.00593311758360302,0.00218221494817239,0,0,0.0598425196850394
"L_2",0.136868540519656,0.164997470915529,0.067557293363745,0.00148013207332347,0.00390490410014931,0.20979381443299,0.226625732626291,0.00101640772469871,0.0202880594703423,0.0438569206842924,0.00202555313181677,0.0897217490062465,0.291013384321224,0.000668598172498329,0.0102239532619279,0.05389369592089,0.0116662439766675,0,0.000558659217877095,0.292620865139949,0.1875,0.0736482287134866,0.00501724678582628,0.00811688311688312,0,0.0575539568345324,0,0.154293381037567,0.0136518771331058,0.00539374325782093,0.00381887615930169,0,0,0.0708661417322835
